,city,recreation_score,rec_entertainment,costs,parks,weather,latitude,longitude,health_score,health_rank,food_rank,fitness_rank,greenspace_rank,happiness_score,hap_entertainment,income_employment,community_environment
87,"Charlotte, NC",36.94,49,61,97,71,35.2270869,-80.8431267,49.53,51,53,31,106,61.22,52,92,57
88,"Aurora, CO",36.49,84,46,52,65,39.7294319,-104.8319195,50.21,54,82,28,61,61.83,26,121,104
89,"Garland, TX",36.43,96,74,84,33,32.912624,-96.6388833,38.6,154,116,130,123,61.86,31,120,103
90,"Fremont, CA",36.13,92,97,26,24,37.5485396,-121.988583,57.79,9,23,23,30,71.17,10,37,1
91,"Durham, NC",35.86,65,43,89,79,35.9940329,-78.898619,48.53,21,85,66,101,60.9,30,28,113
92,"Memphis, TN",35.16,70,35,96,87,35.1495343,-90.0489801,31.07,165,155,164,159,44.45,146,179,156
93,"Hialeah, FL",35.1,85,88,72,38,25.8575963,-80.2781057,37.02,128,38,171,163,54.33,67,160,169
94,"Anchorage, AK",34.83,62,91,14,82,61.2180556,-149.9002778,42.97,134,100,141,53,59.53,84,82,41
95,"Chula Vista, CA",34.69,100,82,85,29,32.6400541,-117.0841955,47.33,62,69,34,127,64.54,19,117,25
96,"Fort Wayne, IN",34.46,75,13,86,96,41.079273,-85.1393513,38.49,139,146,87,145,47.63,152,143,132
97,"Oakland, CA",33.95,61,95,68,51,37.8043514,-122.2711639,53.49,55,9,74,56,63.16,12,75,131
98,"Irving, TX",33.39,94,75,60,76,32.8140177,-96.9488945,38.52,149,122,102,153,64.07,28,17,119
99,"Jersey City, NJ",31.91,93,90,53,55,40.7177545,-74.0431435,43.4,73,48,148,118,56.85,93,168,33
